,Name,Platform,User_Scoree
425,Rayman Origins,X360,8.2
426,Bastion,PC,8.5
427,Radiant Silvergun,X360,8.3
428,Crysis 2,PC,6.8
429,Mortal Kombat,X360,8.3
430,NHL 12,PS3,7.5
431,Moonlighter,XOne,7.5
432,Cuphead,PC,8.3
433,Okami HD,XOne,8.3
434,SteamWorld Dig 2,NS,8.6
435,Cave Story +,NS,7.8
436,Night in the Woods,PC,7.7
437,Nex Machina: Death Machine,PS4,8.1
438,Nioh,PS4,8.6
439,Stardew Valley,NS,8.7
440,Final Fantasy XIV: Stormblood,PC,8.1
441,Odin Sphere Leifthrasir,PS4,8.2
442,Forza Horizon 3: Blizzard Mountain,XOne,7.7
443,INSIDE,PC,8.6
444,XCOM 2,XOne,7.6
445,Hex: Shards of Fate,PC,6.4
446,Forza Horizon 3,PC,6.8
447,The Witness,XOne,6.7
448,DiRT Rally,XOne,8
449,Grand Theft Auto V,PC,7.7
450,Mass Effect 3,X360,5.9
451,Mass Effect 3,PS3,5.6
452,The Walking Dead: A Telltale Games Series,X360,8.6
453,Journey,PS3,8.8
454,Xenoblade Chronicles,Wii,9.2
455,Dishonored,PC,8.4
456,Borderlands 2,PS3,8.2
457,Mark of the Ninja,PC,8
458,Street Fighter III: Third Strike Online Edition,X360,7.3
459,Street Fighter III: Third Strike Online Edition,PS3,7.2
460,Dance Central 2,X360,8.2
461,Bastion,X360,8.5
462,DiRT 3,PC,7
463,Fight Night Champion,X360,7.4
464,NHL 12,X360,7
465,Battlefield 3: Back to Karkand,PC,7.2
466,Injustice 2,PS4,8.1
467,Night in the Woods,PS4,7.2
468,Okami HD,PS4,8.1
469,Hollow Knight,PC,8.8
470,Enter the Gungeon,NS,8
471,Raw Data,PC,6.6
472,Wolfenstein II: The New Colossus,PS4,7.5
473,Zero Escape: The Nonary Games,PS4,8
474,Killer Instinct Season 3,XOne,6.7
475,Stardew Valley,PS4,7.8
476,Rise of the Tomb Raider,PC,7.9
477,Total War: WARHAMMER,PC,7.3
478,Picross 3D: Round 2,3DS,7.6
479,Gears of War 4,PC,6.7
480,Guilty Gear Xrd -REVELATOR-,PS4,8.1
481,Metal Gear Solid V: The Phantom Pain,XOne,7.4
482,The Witcher 3: Wild Hunt,PC,9.3
483,Metal Gear Solid V: The Phantom Pain,PS4,8.2
484,Journey,PS4,8.4
485,Bloodborne,PS4,8.9
486,The Witcher 3: Wild Hunt,PS4,9.2
487,Far Cry 3,X360,8.6
488,Far Cry 3,PS3,8.5
489,Trials Evolution,X360,8
490,Mark of the Ninja,X360,7.4
491,Okami HD,PS3,8.9
492,XCOM: Enemy Unknown,X360,8.3
493,Guild Wars 2,PC,8.1
494,Radiant Historia,DS,8.5
495,Plants vs. Zombies,PS3,7.9
496,Super Street Fighter IV: 3D Edition,3DS,8
497,Battlefield 3,PS3,7.5
498,Crysis 2,PS3,7.2
499,The Legend of Zelda: Four Swords Anniversary Edition,DS,7.4
500,Marvel vs. Capcom 3: Fate of Two Worlds,X360,7.1
501,Frozen Synapse,PC,7.6
502,NBA Jam: On Fire Edition,X360,7.4
503,Axiom Verge,NS,8.4
504,Destiny 2,XOne,4.3
505,Total War: WARHAMMER II,PC,7.5
506,Forza Horizon 3: Hot Wheels,XOne,7.4
507,Thumper,XOne,5.1
508,Rocket League,NS,8.2
509,F1 2017,PS4,7.8
510,Cuphead,XOne,8.5
511,Pillars of Eternity: Complete Edition,XOne,7.7
512,Sky Force Reloaded,XOne,6.5
513,Dishonored 2,PC,6.7
514,F1 2016,PC,7.7
515,Pony Island,PC,7.3
516,Titanfall 2,PC,8.2
517,Dying Light: The Following,XOne,8.2
518,Day of the Tentacle Remastered,PC,7.9
519,Fire Emblem Fates: Birthright,3DS,7.3
520,The Legend of Zelda: Twilight Princess HD,WiiU,8.4
521,Monster Hunter Generations,3DS,8
522,DiRT Rally,PS4,8
523,Crypt of the NecroDancer,PS4,6.7
524,Undertale,PC,8.3
525,The Witcher 3: Wild Hunt,XOne,9.2
526,Metal Gear Solid V: The Phantom Pain,PC,7.8
527,Shovel Knight,PS4,7.6
528,Mario Kart 8 DLC Pack 2,WiiU,8.9
529,Tales From The Borderlands: Episode 5 - The Vault of the Traveler,PS4,8
530,The Witcher 3: Wild Hunt - Hearts of Stone,PS4,8.7
531,The Witcher 3: Wild Hunt - Hearts of Stone,PC,9
532,The Legend of Zelda: Majora's Mask 3D,3DS,8.9
533,Pillars of Eternity,PC,8.3
534,3D Gunstar Heroes,3DS,7.9
535,Dark Souls II: Scholar of the First Sin,XOne,7.7
536,FIFA Soccer 13,X360,6.2
537,NBA 2K13,PS3,8
538,Borderlands 2,X360,8.3
539,XCOM: Enemy Unknown,PS3,8.2
540,The Walking Dead: A Telltale Games Series,PC,8.7
541,Fez,X360,6.2
542,The Walking Dead: Episode 5 - No Time Left,PC,8.8
543,Borderlands 2,PC,8.2
544,Dishonored,PS3,7.9
545,XCOM: Enemy Unknown,PC,8.2
546,Mario Kart 7,3DS,8.3
547,Trine 2,X360,7.3
548,Trine 2,PS3,7.2
549,Tiger Woods PGA Tour 12: The Masters,Wii,6.4
550,Star Wars: The Old Republic,PC,5.9
551,Saints Row: The Third,PC,8.1
552,Crysis 2,X360,7.5
